"Step","Sadam - TrainLoss","Sadam - TrainLoss__MIN","Sadam - TrainLoss__MAX","OGD - TrainLoss","OGD - TrainLoss__MIN","OGD - TrainLoss__MAX","SCRms - TrainLoss","SCRms - TrainLoss__MIN","SCRms - TrainLoss__MAX","SCAdagrad - TrainLoss","SCAdagrad - TrainLoss__MIN","SCAdagrad - TrainLoss__MAX","AmsGrad - TrainLoss","AmsGrad - TrainLoss__MIN","AmsGrad - TrainLoss__MAX","Adam - TrainLoss","Adam - TrainLoss__MIN","Adam - TrainLoss__MAX"
"0","1201.2841176986694","1201.2841176986694","1201.2841176986694","1583.8674668073654","1583.8674668073654","1583.8674668073654","1300.2023980617523","1300.2023980617523","1300.2023980617523","1298.6411327123642","1298.6411327123642","1298.6411327123642","1194.3667253255844","1194.3667253255844","1194.3667253255844","1193.7103371024132","1193.7103371024132","1193.7103371024132"
"1","979.8057512640953","979.8057512640953","979.8057512640953","1372.9649376869202","1372.9649376869202","1372.9649376869202","1037.133717238903","1037.133717238903","1037.133717238903","1032.9901416301727","1032.9901416301727","1032.9901416301727","928.5276805758476","928.5276805758476","928.5276805758476","930.5461540222168","930.5461540222168","930.5461540222168"
"2","881.6629556417465","881.6629556417465","881.6629556417465","1275.5654466152191","1275.5654466152191","1275.5654466152191","939.3400752544403","939.3400752544403","939.3400752544403","932.1469853520393","932.1469853520393","932.1469853520393","834.1271532773972","834.1271532773972","834.1271532773972","836.7215700745583","836.7215700745583","836.7215700745583"
"3","812.4222345352173","812.4222345352173","812.4222345352173","1190.873131275177","1190.873131275177","1190.873131275177","865.8742284178734","865.8742284178734","865.8742284178734","858.9812391400337","858.9812391400337","858.9812391400337","775.8494768738747","775.8494768738747","775.8494768738747","781.01327085495","781.01327085495","781.01327085495"
"4","766.5401301383972","766.5401301383972","766.5401301383972","1124.951605796814","1124.951605796814","1124.951605796814","803.9703997373581","803.9703997373581","803.9703997373581","800.1342713832855","800.1342713832855","800.1342713832855","729.8825123906136","729.8825123906136","729.8825123906136","735.2360605597496","735.2360605597496","735.2360605597496"
"5","732.1784533262253","732.1784533262253","732.1784533262253","1070.2802560329437","1070.2802560329437","1070.2802560329437","762.1954167485237","762.1954167485237","762.1954167485237","761.6330394744873","761.6330394744873","761.6330394744873","693.3139218688011","693.3139218688011","693.3139218688011","698.9859396219254","698.9859396219254","698.9859396219254"
"6","700.1554048061371","700.1554048061371","700.1554048061371","1036.5440548062325","1036.5440548062325","1036.5440548062325","725.5817441940308","725.5817441940308","725.5817441940308","725.5519739985466","725.5519739985466","725.5519739985466","669.470366537571","669.470366537571","669.470366537571","674.7946298122406","674.7946298122406","674.7946298122406"
"7","676.8036622405052","676.8036622405052","676.8036622405052","1005.7173792719841","1005.7173792719841","1005.7173792719841","695.3545252084732","695.3545252084732","695.3545252084732","697.5030121803284","697.5030121803284","697.5030121803284","634.7941050827503","634.7941050827503","634.7941050827503","640.0150906145573","640.0150906145573","640.0150906145573"
"8","654.8926849365234","654.8926849365234","654.8926849365234","975.0699020624161","975.0699020624161","975.0699020624161","674.9321131706238","674.9321131706238","674.9321131706238","677.1802047491074","677.1802047491074","677.1802047491074","617.2635068297386","617.2635068297386","617.2635068297386","619.9353405535221","619.9353405535221","619.9353405535221"
"9","632.4370001554489","632.4370001554489","632.4370001554489","951.601845562458","951.601845562458","951.601845562458","650.5455022454262","650.5455022454262","650.5455022454262","653.1826691925526","653.1826691925526","653.1826691925526","589.5104757547379","589.5104757547379","589.5104757547379","593.5143085718155","593.5143085718155","593.5143085718155"
"10","615.1854532361031","615.1854532361031","615.1854532361031","925.1193959116936","925.1193959116936","925.1193959116936","629.1934330463409","629.1934330463409","629.1934330463409","631.4797750115395","631.4797750115395","631.4797750115395","576.1970585286617","576.1970585286617","576.1970585286617","576.9104034304619","576.9104034304619","576.9104034304619"
"11","598.6198672056198","598.6198672056198","598.6198672056198","903.1625856161118","903.1625856161118","903.1625856161118","615.319048255682","615.319048255682","615.319048255682","618.0297539234161","618.0297539234161","618.0297539234161","558.6089794635773","558.6089794635773","558.6089794635773","559.128172904253","559.128172904253","559.128172904253"
"12","589.1553772985935","589.1553772985935","589.1553772985935","877.9402162432671","877.9402162432671","877.9402162432671","597.3643364012241","597.3643364012241","597.3643364012241","599.1783133149147","599.1783133149147","599.1783133149147","539.747236251831","539.747236251831","539.747236251831","540.3063736855984","540.3063736855984","540.3063736855984"
"13","570.5574836134911","570.5574836134911","570.5574836134911","857.8807905316353","857.8807905316353","857.8807905316353","583.7434517741203","583.7434517741203","583.7434517741203","586.0568153858185","586.0568153858185","586.0568153858185","524.9115771651268","524.9115771651268","524.9115771651268","525.3199982047081","525.3199982047081","525.3199982047081"
"14","561.0855948925018","561.0855948925018","561.0855948925018","838.5542287826538","838.5542287826538","838.5542287826538","567.8169064223766","567.8169064223766","567.8169064223766","570.2880676984787","570.2880676984787","570.2880676984787","513.4790841341019","513.4790841341019","513.4790841341019","512.8710218369961","512.8710218369961","512.8710218369961"
