"Step","OGD - TrainLoss","OGD - TrainLoss__MIN","OGD - TrainLoss__MAX","SC-RMS - TrainLoss","SC-RMS - TrainLoss__MIN","SC-RMS - TrainLoss__MAX","Sc-Adagrad - TrainLoss","Sc-Adagrad - TrainLoss__MIN","Sc-Adagrad - TrainLoss__MAX","Sadam - TrainLoss","Sadam - TrainLoss__MIN","Sadam - TrainLoss__MAX","AmsGrad - TrainLoss","AmsGrad - TrainLoss__MIN","AmsGrad - TrainLoss__MAX","Adam - TrainLoss","Adam - TrainLoss__MIN","Adam - TrainLoss__MAX"
"0","449.50214767456055","449.50214767456055","449.50214767456055","437.6587257385254","437.6587257385254","437.6587257385254","438.11356258392334","438.11356258392334","438.11356258392334","413.0724744796753","413.0724744796753","413.0724744796753","419.329204082489","419.329204082489","419.329204082489","419.1891736984253","419.1891736984253","419.1891736984253"
"1","443.12679862976074","443.12679862976074","443.12679862976074","406.3220794200897","406.3220794200897","406.3220794200897","406.9802312850952","406.9802312850952","406.9802312850952","369.63208627700806","369.63208627700806","369.63208627700806","375.95279693603516","375.95279693603516","375.95279693603516","375.90677285194397","375.90677285194397","375.90677285194397"
"2","432.42566299438477","432.42566299438477","432.42566299438477","389.4003460407257","389.4003460407257","389.4003460407257","390.1193072795868","390.1193072795868","390.1193072795868","349.1375980377197","349.1375980377197","349.1375980377197","353.54613041877747","353.54613041877747","353.54613041877747","353.75252962112427","353.75252962112427","353.75252962112427"
"3","420.86207151412964","420.86207151412964","420.86207151412964","378.39283323287964","378.39283323287964","378.39283323287964","378.89840364456177","378.89840364456177","378.89840364456177","332.9676811695099","332.9676811695099","332.9676811695099","340.2119417190552","340.2119417190552","340.2119417190552","340.78125190734863","340.78125190734863","340.78125190734863"
"4","412.64448833465576","412.64448833465576","412.64448833465576","369.2185034751892","369.2185034751892","369.2185034751892","370.01472425460815","370.01472425460815","370.01472425460815","321.36771154403687","321.36771154403687","321.36771154403687","330.92225980758667","330.92225980758667","330.92225980758667","332.6380240917206","332.6380240917206","332.6380240917206"
"5","405.5525915622711","405.5525915622711","405.5525915622711","360.3212819099426","360.3212819099426","360.3212819099426","361.3628759384155","361.3628759384155","361.3628759384155","311.21262645721436","311.21262645721436","311.21262645721436","323.37582778930664","323.37582778930664","323.37582778930664","326.32243847846985","326.32243847846985","326.32243847846985"
"6","400.755243062973","400.755243062973","400.755243062973","353.9287815093994","353.9287815093994","353.9287815093994","354.6734125614166","354.6734125614166","354.6734125614166","304.39505434036255","304.39505434036255","304.39505434036255","316.38824439048767","316.38824439048767","316.38824439048767","319.2214388847351","319.2214388847351","319.2214388847351"
"7","396.0111720561981","396.0111720561981","396.0111720561981","347.6193702220917","347.6193702220917","347.6193702220917","348.699138879776","348.699138879776","348.699138879776","300.0033760070801","300.0033760070801","300.0033760070801","311.81642293930054","311.81642293930054","311.81642293930054","314.3831641674042","314.3831641674042","314.3831641674042"
"8","390.9938793182373","390.9938793182373","390.9938793182373","340.794903755188","340.794903755188","340.794903755188","343.493825674057","343.493825674057","343.493825674057","296.3162581920624","296.3162581920624","296.3162581920624","308.37221121788025","308.37221121788025","308.37221121788025","310.90068650245667","310.90068650245667","310.90068650245667"
"9","388.05567049980164","388.05567049980164","388.05567049980164","337.58327054977417","337.58327054977417","337.58327054977417","339.00606775283813","339.00606775283813","339.00606775283813","293.05277371406555","293.05277371406555","293.05277371406555","306.04943203926086","306.04943203926086","306.04943203926086","307.4536533355713","307.4536533355713","307.4536533355713"
