"Step","OGD - TestAccuracy","OGD - TestAccuracy__MIN","OGD - TestAccuracy__MAX","AmsGrad - TestAccuracy","AmsGrad - TestAccuracy__MIN","AmsGrad - TestAccuracy__MAX","SC-Adagrad - TestAccuracy","SC-Adagrad - TestAccuracy__MIN","SC-Adagrad - TestAccuracy__MAX","SC-RMS - TestAccuracy","SC-RMS - TestAccuracy__MIN","SC-RMS - TestAccuracy__MAX","Sadam - TestAccuracy","Sadam - TestAccuracy__MIN","Sadam - TestAccuracy__MAX","Adam - TestAccuracy","Adam - TestAccuracy__MIN","Adam - TestAccuracy__MAX"
"0","48.57","48.57","48.57","63.05","63.05","63.05","56.94","56.94","56.94","60.3","60.3","60.3","59.17","59.17","59.17","63.08","63.08","63.08"
"1","55.96","55.96","55.96","71.89","71.89","71.89","70.12","70.12","70.12","61.02","61.02","61.02","69.12","69.12","69.12","71.71","71.71","71.71"
"2","72.99","72.99","72.99","77.1","77.1","77.1","76.69","76.69","76.69","75.84","75.84","75.84","76.68","76.68","76.68","75.69","75.69","75.69"
"3","73.76","73.76","73.76","79.81","79.81","79.81","78.96","78.96","78.96","78.67","78.67","78.67","80.64","80.64","80.64","79.69","79.69","79.69"
"4","71.97","71.97","71.97","82.35","82.35","82.35","74.29","74.29","74.29","76.77","76.77","76.77","80.45","80.45","80.45","81.42","81.42","81.42"
"5","71.16","71.16","71.16","81.91","81.91","81.91","76.77","76.77","76.77","79.97","79.97","79.97","82.62","82.62","82.62","82.5","82.5","82.5"
"6","72.99","72.99","72.99","84.07","84.07","84.07","81.4","81.4","81.4","82.79","82.79","82.79","83.21","83.21","83.21","83.5","83.5","83.5"
"7","49.68","49.68","49.68","83.09","83.09","83.09","69.25","69.25","69.25","60.67","60.67","60.67","83.21","83.21","83.21","83.14","83.14","83.14"
"8","75","75","75","84.29","84.29","84.29","82.73","82.73","82.73","83.79","83.79","83.79","83.37","83.37","83.37","84.38","84.38","84.38"
"9","67.3","67.3","67.3","83.9","83.9","83.9","85.31","85.31","85.31","84.37","84.37","84.37","84.02","84.02","84.02","82.21","82.21","82.21"
"10","79.53","79.53","79.53","83.97","83.97","83.97","85.62","85.62","85.62","85.82","85.82","85.82","84.63","84.63","84.63","83.05","83.05","83.05"
"11","78.93","78.93","78.93","84.85","84.85","84.85","85.34","85.34","85.34","86.11","86.11","86.11","84.7","84.7","84.7","84.18","84.18","84.18"
"12","79.62","79.62","79.62","84.61","84.61","84.61","86.01","86.01","86.01","85.97","85.97","85.97","85.33","85.33","85.33","83.54","83.54","83.54"
"13","79.46","79.46","79.46","83.79","83.79","83.79","85.78","85.78","85.78","85.98","85.98","85.98","85.14","85.14","85.14","84.55","84.55","84.55"
"14","80.53","80.53","80.53","85.16","85.16","85.16","85.85","85.85","85.85","86.31","86.31","86.31","85.92","85.92","85.92","84.44","84.44","84.44"
"15","80.63","80.63","80.63","85.57","85.57","85.57","85.8","85.8","85.8","86.15","86.15","86.15","86.16","86.16","86.16","83.36","83.36","83.36"
"16","80.74","80.74","80.74","86.08","86.08","86.08","85.87","85.87","85.87","86.12","86.12","86.12","86.31","86.31","86.31","83.36","83.36","83.36"
"17","80.75","80.75","80.75","85.17","85.17","85.17","86.12","86.12","86.12","86.29","86.29","86.29","86.23","86.23","86.23","83.95","83.95","83.95"
"18","80.39","80.39","80.39","84.55","84.55","84.55","85.72","85.72","85.72","86.13","86.13","86.13","86.18","86.18","86.18","85.27","85.27","85.27"
"19","80.64","80.64","80.64","85.35","85.35","85.35","86.13","86.13","86.13","86.29","86.29","86.29","86.15","86.15","86.15","83.91","83.91","83.91"
"20","80.71","80.71","80.71","85.31","85.31","85.31","86.2","86.2","86.2","86.3","86.3","86.3","86.27","86.27","86.27","83.94","83.94","83.94"
"21","80.7","80.7","80.7","85.86","85.86","85.86","86.01","86.01","86.01","86.14","86.14","86.14","86.38","86.38","86.38","83.93","83.93","83.93"
"22","70.8","70.8","70.8","85.52","85.52","85.52","85.74","85.74","85.74","86.23","86.23","86.23","86.3","86.3","86.3","83.84","83.84","83.84"
"23","77.75","77.75","77.75","85.56","85.56","85.56","85.9","85.9","85.9","86.03","86.03","86.03","86.27","86.27","86.27","84.33","84.33","84.33"
"24","80.8","80.8","80.8","85.22","85.22","85.22","85.96","85.96","85.96","86.08","86.08","86.08","86.23","86.23","86.23","84.22","84.22","84.22"
"25","80.87","80.87","80.87","85.53","85.53","85.53","85.97","85.97","85.97","86.12","86.12","86.12","86.24","86.24","86.24","84.35","84.35","84.35"
"26","80.89","80.89","80.89","85.55","85.55","85.55","86.08","86.08","86.08","86.19","86.19","86.19","86.49","86.49","86.49","84.93","84.93","84.93"
"27","81.04","81.04","81.04","86.18","86.18","86.18","85.88","85.88","85.88","86.21","86.21","86.21","86.4","86.4","86.4","84.83","84.83","84.83"
"28","80.88","80.88","80.88","86.09","86.09","86.09","85.95","85.95","85.95","86.12","86.12","86.12","86.37","86.37","86.37","84.71","84.71","84.71"
"29","81.12","81.12","81.12","86.54","86.54","86.54","86.03","86.03","86.03","86.23","86.23","86.23","86.34","86.34","86.34","84.59","84.59","84.59"
"30","80.84","80.84","80.84","86.59","86.59","86.59","85.91","85.91","85.91","86.1","86.1","86.1","86.37","86.37","86.37","85.18","85.18","85.18"
"31","81.02","81.02","81.02","86.84","86.84","86.84","86.04","86.04","86.04","86.23","86.23","86.23","86.2","86.2","86.2","85.2","85.2","85.2"
"32","80.88","80.88","80.88","86.73","86.73","86.73","85.92","85.92","85.92","86.27","86.27","86.27","86.31","86.31","86.31","84.52","84.52","84.52"
"33","81.02","81.02","81.02","86.66","86.66","86.66","86.04","86.04","86.04","85.99","85.99","85.99","86.29","86.29","86.29","85.32","85.32","85.32"
"34","74.24","74.24","74.24","86.81","86.81","86.81","85.6","85.6","85.6","85.5","85.5","85.5","86.46","86.46","86.46","85.43","85.43","85.43"
"35","80.31","80.31","80.31","86.7","86.7","86.7","85.96","85.96","85.96","84.68","84.68","84.68","86.49","86.49","86.49","85","85","85"
"36","80.98","80.98","80.98","86.77","86.77","86.77","86.06","86.06","86.06","85.99","85.99","85.99","86.36","86.36","86.36","84.23","84.23","84.23"
"37","80.87","80.87","80.87","86.6","86.6","86.6","84.75","84.75","84.75","85.98","85.98","85.98","86.21","86.21","86.21","84.84","84.84","84.84"
"38","80.87","80.87","80.87","86.53","86.53","86.53","85.85","85.85","85.85","86.08","86.08","86.08","86.33","86.33","86.33","84.19","84.19","84.19"
"39","80.75","80.75","80.75","86.83","86.83","86.83","86","86","86","86.1","86.1","86.1","86.32","86.32","86.32","83.61","83.61","83.61"
"40","80.7","80.7","80.7","86.7","86.7","86.7","85.88","85.88","85.88","86.2","86.2","86.2","86.2","86.2","86.2","85.28","85.28","85.28"
"41","58.64","58.64","58.64","86.81","86.81","86.81","85.77","85.77","85.77","84.91","84.91","84.91","86.3","86.3","86.3","84.15","84.15","84.15"
"42","76.38","76.38","76.38","86.78","86.78","86.78","85.78","85.78","85.78","85.99","85.99","85.99","86.08","86.08","86.08","85.7","85.7","85.7"
"43","80.2","80.2","80.2","86.85","86.85","86.85","85.96","85.96","85.96","86.13","86.13","86.13","86.02","86.02","86.02","84.85","84.85","84.85"
"44","80.47","80.47","80.47","86.86","86.86","86.86","85.95","85.95","85.95","86.19","86.19","86.19","86.08","86.08","86.08","84.11","84.11","84.11"
"45","77.8","77.8","77.8","86.85","86.85","86.85","85.92","85.92","85.92","86.29","86.29","86.29","86.37","86.37","86.37","84.4","84.4","84.4"
"46","80.64","80.64","80.64","86.93","86.93","86.93","85.97","85.97","85.97","85.82","85.82","85.82","86.26","86.26","86.26","84.91","84.91","84.91"
"47","80.8","80.8","80.8","87","87","87","86.08","86.08","86.08","86.21","86.21","86.21","86.2","86.2","86.2","84.24","84.24","84.24"
"48","80.68","80.68","80.68","87.07","87.07","87.07","86.04","86.04","86.04","86.28","86.28","86.28","86.09","86.09","86.09","85.5","85.5","85.5"
"49","80.84","80.84","80.84","86.91","86.91","86.91","86.14","86.14","86.14","86.35","86.35","86.35","86.11","86.11","86.11","84.17","84.17","84.17"
"50","80.81","80.81","80.81","86.99","86.99","86.99","85.99","85.99","85.99","86.27","86.27","86.27","86.36","86.36","86.36","84.99","84.99","84.99"
"51","80.71","80.71","80.71","87.03","87.03","87.03","85.82","85.82","85.82","86.26","86.26","86.26","86.37","86.37","86.37","85.03","85.03","85.03"
"52","80.71","80.71","80.71","87.13","87.13","87.13","85.7","85.7","85.7","86.21","86.21","86.21","86.25","86.25","86.25","85.21","85.21","85.21"
"53","80.96","80.96","80.96","87.01","87.01","87.01","85.96","85.96","85.96","86.25","86.25","86.25","86.07","86.07","86.07","84.35","84.35","84.35"
"54","80.76","80.76","80.76","87.05","87.05","87.05","85.88","85.88","85.88","86.41","86.41","86.41","86.44","86.44","86.44","85.03","85.03","85.03"
"55","80.92","80.92","80.92","87.11","87.11","87.11","86.06","86.06","86.06","86.26","86.26","86.26","86.12","86.12","86.12","85.22","85.22","85.22"
"56","80.77","80.77","80.77","87.12","87.12","87.12","86.09","86.09","86.09","86.44","86.44","86.44","86.28","86.28","86.28","85.11","85.11","85.11"
"57","80.87","80.87","80.87","87.15","87.15","87.15","86.13","86.13","86.13","86.35","86.35","86.35","86.25","86.25","86.25","85.58","85.58","85.58"
"58","80.79","80.79","80.79","86.99","86.99","86.99","85.77","85.77","85.77","86.26","86.26","86.26","86.24","86.24","86.24","84.84","84.84","84.84"
"59","80.66","80.66","80.66","87.15","87.15","87.15","86","86","86","86.35","86.35","86.35","86.28","86.28","86.28","84.94","84.94","84.94"
"60","80.82","80.82","80.82","86.93","86.93","86.93","85.96","85.96","85.96","86.28","86.28","86.28","86.21","86.21","86.21","85.23","85.23","85.23"
"61","80.66","80.66","80.66","86.89","86.89","86.89","85.81","85.81","85.81","86.24","86.24","86.24","86.31","86.31","86.31","86.25","86.25","86.25"
"62","80.81","80.81","80.81","86.77","86.77","86.77","86.08","86.08","86.08","86.26","86.26","86.26","86.28","86.28","86.28","83.7","83.7","83.7"
"63","80.91","80.91","80.91","86.78","86.78","86.78","85.94","85.94","85.94","86.33","86.33","86.33","86.37","86.37","86.37","85.36","85.36","85.36"
"64","81.04","81.04","81.04","86.83","86.83","86.83","86.06","86.06","86.06","86.36","86.36","86.36","86.21","86.21","86.21","84.84","84.84","84.84"
"65","81.02","81.02","81.02","86.96","86.96","86.96","85.91","85.91","85.91","86.26","86.26","86.26","86.32","86.32","86.32","85.39","85.39","85.39"
"66","80.89","80.89","80.89","86.82","86.82","86.82","86.08","86.08","86.08","86.37","86.37","86.37","86.26","86.26","86.26","84.7","84.7","84.7"
"67","80.78","80.78","80.78","86.89","86.89","86.89","86.12","86.12","86.12","86.23","86.23","86.23","86.14","86.14","86.14","85.04","85.04","85.04"
"68","80.8","80.8","80.8","86.89","86.89","86.89","86.02","86.02","86.02","86.38","86.38","86.38","86.25","86.25","86.25","85.18","85.18","85.18"
"69","81.05","81.05","81.05","86.94","86.94","86.94","86.04","86.04","86.04","86.55","86.55","86.55","86.18","86.18","86.18","85.45","85.45","85.45"
"70","80.72","80.72","80.72","86.88","86.88","86.88","85.84","85.84","85.84","86.26","86.26","86.26","86.22","86.22","86.22","85.16","85.16","85.16"
"71","77.16","77.16","77.16","86.86","86.86","86.86","84.39","84.39","84.39","84.85","84.85","84.85","86.2","86.2","86.2","85.74","85.74","85.74"
"72","80.29","80.29","80.29","86.6","86.6","86.6","85.97","85.97","85.97","86.12","86.12","86.12","86.3","86.3","86.3","85.15","85.15","85.15"
"73","80.63","80.63","80.63","86.68","86.68","86.68","85.85","85.85","85.85","85.83","85.83","85.83","86.16","86.16","86.16","84.73","84.73","84.73"
"74","80.41","80.41","80.41","86.94","86.94","86.94","85.91","85.91","85.91","86.16","86.16","86.16","86.3","86.3","86.3","84.46","84.46","84.46"
"75","80.73","80.73","80.73","86.97","86.97","86.97","85.4","85.4","85.4","86.2","86.2","86.2","86.18","86.18","86.18","85.42","85.42","85.42"
"76","80.8","80.8","80.8","86.85","86.85","86.85","85.81","85.81","85.81","85.98","85.98","85.98","86.36","86.36","86.36","86.14","86.14","86.14"
"77","80.58","80.58","80.58","86.98","86.98","86.98","85.97","85.97","85.97","86.16","86.16","86.16","86.24","86.24","86.24","85.37","85.37","85.37"
"78","80.25","80.25","80.25","87.04","87.04","87.04","85.82","85.82","85.82","86.14","86.14","86.14","86.28","86.28","86.28","84.37","84.37","84.37"
"79","80.71","80.71","80.71","86.92","86.92","86.92","85.91","85.91","85.91","86.13","86.13","86.13","86.3","86.3","86.3","84.75","84.75","84.75"
"80","80.62","80.62","80.62","87.13","87.13","87.13","86.19","86.19","86.19","86.12","86.12","86.12","86.31","86.31","86.31","85.24","85.24","85.24"
"81","80.8","80.8","80.8","86.98","86.98","86.98","85.84","85.84","85.84","86.11","86.11","86.11","86.44","86.44","86.44","85.47","85.47","85.47"
"82","80.61","80.61","80.61","87.04","87.04","87.04","85.76","85.76","85.76","86.09","86.09","86.09","86.42","86.42","86.42","86.03","86.03","86.03"
"83","80.73","80.73","80.73","87.35","87.35","87.35","86.02","86.02","86.02","86.29","86.29","86.29","86.28","86.28","86.28","84.95","84.95","84.95"
"84","80.89","80.89","80.89","87.09","87.09","87.09","85.98","85.98","85.98","86.09","86.09","86.09","86.29","86.29","86.29","86.02","86.02","86.02"
"85","80.67","80.67","80.67","87.17","87.17","87.17","85.85","85.85","85.85","86.31","86.31","86.31","86.31","86.31","86.31","85.34","85.34","85.34"
"86","80.75","80.75","80.75","87.08","87.08","87.08","86.1","86.1","86.1","86.26","86.26","86.26","86.24","86.24","86.24","85.61","85.61","85.61"
"87","80.15","80.15","80.15","87.07","87.07","87.07","85.75","85.75","85.75","85.55","85.55","85.55","85.99","85.99","85.99","85.61","85.61","85.61"
"88","80.67","80.67","80.67","87.23","87.23","87.23","86.04","86.04","86.04","86.11","86.11","86.11","84.08","84.08","84.08","84.37","84.37","84.37"
"89","80.73","80.73","80.73","87.15","87.15","87.15","85.96","85.96","85.96","86.28","86.28","86.28","84.46","84.46","84.46","85.51","85.51","85.51"
"90","80.95","80.95","80.95","87.22","87.22","87.22","85.97","85.97","85.97","86.11","86.11","86.11","84.93","84.93","84.93","85.03","85.03","85.03"
"91","80.77","80.77","80.77","87.16","87.16","87.16","85.87","85.87","85.87","86.31","86.31","86.31","84.78","84.78","84.78","85.54","85.54","85.54"
"92","80.81","80.81","80.81","87.09","87.09","87.09","86.06","86.06","86.06","86.19","86.19","86.19","85.24","85.24","85.24","85.82","85.82","85.82"
"93","80.89","80.89","80.89","87.03","87.03","87.03","86.14","86.14","86.14","86.12","86.12","86.12","85.38","85.38","85.38","85.05","85.05","85.05"
"94","80.85","80.85","80.85","87.02","87.02","87.02","86.05","86.05","86.05","86.26","86.26","86.26","85.53","85.53","85.53","85.79","85.79","85.79"
"95","80.94","80.94","80.94","87.25","87.25","87.25","85.74","85.74","85.74","86.3","86.3","86.3","85.92","85.92","85.92","86.15","86.15","86.15"
"96","80.89","80.89","80.89","87.16","87.16","87.16","86.04","86.04","86.04","86.16","86.16","86.16","85.94","85.94","85.94","85.28","85.28","85.28"
"97","80.82","80.82","80.82","87.28","87.28","87.28","85.93","85.93","85.93","86.21","86.21","86.21","85.98","85.98","85.98","85.73","85.73","85.73"
"98","80.86","80.86","80.86","87.19","87.19","87.19","85.89","85.89","85.89","86","86","86","86.02","86.02","86.02","84.84","84.84","84.84"
"99","80.8","80.8","80.8","87.12","87.12","87.12","86.15","86.15","86.15","86.26","86.26","86.26","86.08","86.08","86.08","85.45","85.45","85.45"
